appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
570,Dota 2,Valve,Valve,,1746781,379927,0,"200,000,000 .. 500,000,000",0,0,0,0,0.0,0.0,0,590237
730,Counter-Strike: Global Offensive,Valve,Valve,,6820541,952735,0,"100,000,000 .. 200,000,000",0,0,0,0,0.0,0.0,0,1083777
578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1304643,954930,0,"50,000,000 .. 100,000,000",0,0,0,0,0.0,0.0,0,457343
1063730,New World,Amazon Games,Amazon Games,,189598,79946,0,"50,000,000 .. 100,000,000",0,0,0,0,39.99,39.99,0,24727
1172470,Apex Legends,Respawn Entertainment,Electronic Arts,,609003,157061,0,"50,000,000 .. 100,000,000",0,0,0,0,0.0,0.0,0,309440
440,Team Fortress 2,Valve,Valve,,951385,61429,0,"50,000,000 .. 100,000,000",0,0,0,0,0.0,0.0,0,91361
271590,Grand Theft Auto V,Rockstar North,Rockstar Games,,1450589,230209,0,"50,000,000 .. 100,000,000",0,0,0,0,29.98,29.98,0,134640
1599340,Lost Ark,Smilegate RPG,Amazon Games,,141090,55868,0,"50,000,000 .. 100,000,000",0,0,0,0,0.0,0.0,0,49613
550,Left 4 Dead 2,Valve,Valve,,785352,19668,0,"50,000,000 .. 100,000,000",0,0,0,0,9.99,9.99,0,36200
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,484087,44876,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,55058
252490,Rust,Facepunch Studios,Facepunch Studios,,867086,128597,0,"20,000,000 .. 50,000,000",0,0,0,0,39.99,39.99,0,70731
1938090,Call of Duty: Modern Warfare II,"Infinity Ward, Raven Software, Beenox, Treyarch, High Moon Studios, Sledgehammer Games, Activision Shanghai, Demonware, Toys for Bob",Activision,,282822,201061,0,"20,000,000 .. 50,000,000",0,0,0,0,69.99,69.99,0,97564
230410,Warframe,Digital Extremes,Digital Extremes,,482327,75111,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,60576
105600,Terraria,Re-Logic,Re-Logic,,1193412,28397,0,"20,000,000 .. 50,000,000",0,0,0,0,9.99,9.99,0,41510
236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,346875,225928,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,66055
1245620,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",,678828,56417,0,"20,000,000 .. 50,000,000",0,0,0,0,59.99,59.99,0,33271
291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,288122,59089,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,17072
1085660,Destiny 2,Bungie,Bungie,,464911,110229,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,64314
340,Half-Life 2: Lost Coast,Valve,Valve,,10981,1348,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,34
346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",,556465,113789,0,"20,000,000 .. 50,000,000",0,0,0,0,14.99,14.99,0,35112
901583,Grand Theft Auto IV: Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,,113566,27207,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,0
359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,1033484,169518,0,"20,000,000 .. 50,000,000",0,0,0,0,7.99,19.99,60,42726
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,576827,68008,0,"20,000,000 .. 50,000,000",0,0,0,0,4.99,9.99,50,34821
892970,Valheim,Iron Gate AB,Coffee Stain Publishing,,406388,21941,0,"20,000,000 .. 50,000,000",0,0,0,0,19.99,19.99,0,29132
238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,,187513,24086,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,14028
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,490434,23172,0,"20,000,000 .. 50,000,000",0,0,0,0,4.99,19.99,75,12006
1517290,Battlefield 2042,DICE,Electronic Arts,,100099,139433,0,"20,000,000 .. 50,000,000",0,0,0,0,59.99,59.99,0,37313
322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,415483,18306,0,"20,000,000 .. 50,000,000",0,0,0,0,14.99,14.99,0,51140
1097150,Fall Guys: Ultimate Knockout,Mediatonic,Ravenscourt,,387759,89169,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,2092
291480,Warface,MY.GAMES,MY.GAMES,,55189,27169,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,694
444090,Paladins,Evil Mojo Games,Hi-Rez Studios,,290764,50430,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,7049
381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,,563295,137800,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,38421
49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,261514,17188,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,2882
10,Counter-Strike,Valve,Valve,,225049,5842,0,"10,000,000 .. 20,000,000",0,0,0,0,9.99,9.99,0,10707
227940,Heroes & Generals,TLM Partners,TLM Partners,,96476,47108,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,4
1240440,Halo Infinite,343 Industries,Xbox Game Studios,,116398,49272,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,7000
252950,Rocket League,Psyonix LLC,Psyonix LLC,,507228,67704,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,33776
1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games",,114645,106023,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,7207
620,Portal 2,Valve,Valve,,364500,4647,0,"10,000,000 .. 20,000,000",0,0,0,0,9.99,9.99,0,2558
739630,Phasmophobia,Kinetic Games,Kinetic Games,,607713,24711,0,"10,000,000 .. 20,000,000",0,0,0,0,12.59,13.99,10,17449
990080,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,,222059,19436,0,"10,000,000 .. 20,000,000",0,0,0,0,35.99,59.99,40,14465
320,Half-Life 2: Deathmatch,Valve,Valve,,11132,1142,0,"10,000,000 .. 20,000,000",0,0,0,0,4.99,4.99,0,202
1203220,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,,155647,73617,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,260845
386360,SMITE,Titan Forge Games,Hi-Rez Studios,,90155,23386,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,12752
755790,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,,74925,25880,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,6
240,Counter-Strike: Source,Valve,Valve,,157626,6076,0,"10,000,000 .. 20,000,000",0,0,0,0,9.99,9.99,0,3984
301520,Robocraft,Freejam,Freejam,,86291,32226,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,157
582010,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,347183,53099,0,"10,000,000 .. 20,000,000",0,0,0,0,29.99,29.99,0,45243
550650,Black Squad,"VALOFE, NS STUDIO",VALOFE,,61467,19346,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,577
304050,Trove,gamigo US Inc.,gamigo US Inc.,,73164,17738,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,1354
1174180,Red Dead Redemption 2,Rockstar Games,Rockstar Games,,450211,44319,0,"10,000,000 .. 20,000,000",0,0,0,0,59.99,59.99,0,60612
251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,256291,33578,0,"10,000,000 .. 20,000,000",0,0,0,0,24.99,24.99,0,39330
