,name,initialprice,ccu,ccu_ratio
0,Dota 2,0.0,590237,590237.0
1,Counter-Strike: Global Offensive,0.0,1083777,1083777.0
2,PUBG: BATTLEGROUNDS,0.0,457343,457343.0
3,New World,39.99,24727,618.3295823955989
4,Apex Legends,0.0,309440,309440.0
5,Team Fortress 2,0.0,91361,91361.0
6,Grand Theft Auto V,29.98,134640,4490.993995997332
7,Lost Ark,0.0,49613,49613.0
8,Left 4 Dead 2,9.99,36200,3623.6236236236236
9,Unturned,0.0,55058,55058.0
10,Rust,39.99,70731,1768.7171792948236
11,Call of Duty: Modern Warfare II,69.99,97564,1393.9705672238892
12,Warframe,0.0,60576,60576.0
13,Terraria,9.99,41510,4155.155155155155
14,War Thunder,0.0,66055,66055.0
15,ELDEN RING,59.99,33271,554.6091015169195
16,Brawlhalla,0.0,17072,17072.0
17,Destiny 2,0.0,64314,64314.0
18,Half-Life 2: Lost Coast,0.0,34,34.0
19,ARK: Survival Evolved,14.99,35112,2342.361574382922
20,Grand Theft Auto IV: Complete Edition,0.0,0,0.0
21,Tom Clancy's Rainbow Six Siege,19.99,42726,2137.368684342171
22,PAYDAY 2,9.99,34821,3485.5855855855857
23,Valheim,19.99,29132,1457.3286643321662
24,Path of Exile,0.0,14028,14028.0
25,The Forest,19.99,12006,600.6003001500751
26,Battlefield 2042,59.99,37313,621.9869978329722
27,Don't Starve Together,14.99,51140,3411.6077384923283
28,Fall Guys: Ultimate Knockout,0.0,2092,2092.0
29,Warface,0.0,694,694.0
30,Paladins,0.0,7049,7049.0
31,Dead by Daylight,19.99,38421,1922.0110055027515
32,Borderlands 2,19.99,2882,144.17208604302152
33,Counter-Strike,9.99,10707,1071.7717717717717
34,Heroes & Generals,0.0,4,4.0
35,Halo Infinite,0.0,7000,7000.0
36,Rocket League,0.0,33776,33776.0
37,鬼谷八荒 Tale of Immortal,19.99,7207,360.5302651325663
38,Portal 2,9.99,2558,256.05605605605604
39,Phasmophobia,13.99,17449,1247.2480343102216
40,Hogwarts Legacy,59.99,14465,241.12352058676444
41,Half-Life 2: Deathmatch,4.99,202,40.480961923847694
42,NARAKA: BLADEPOINT,0.0,260845,260845.0
43,SMITE,0.0,12752,12752.0
44,Ring of Elysium,0.0,6,6.0
45,Counter-Strike: Source,9.99,3984,398.79879879879877
46,Robocraft,0.0,157,157.0
47,Monster Hunter: World,29.99,45243,1508.602867622541
48,Black Squad,0.0,577,577.0
49,Trove,0.0,1354,1354.0
50,Red Dead Redemption 2,59.99,60612,1010.3683947324554
51,7 Days to Die,24.99,39330,1573.8295318127252
52,Hollow Knight,14.99,7521,501.7344896597732
53,Dying Light,49.99,6543,130.8861772354471
54,Street Warriors Online,1.99,0,0.0
55,Portal,9.99,654,65.46546546546547
56,Half-Life,9.99,4184,418.8188188188188
57,Mount & Blade II: Bannerlord,49.99,23020,460.49209841968394
58,Lethal Company,9.99,136832,13696.896896896897
