appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1063730,New World,Amazon Games,Amazon Games,,189598,79946,0,"50,000,000 .. 100,000,000",0,0,0,0,39.99,39.99,0,24727
1599340,Lost Ark,Smilegate RPG,Amazon Games,,141090,55868,0,"50,000,000 .. 100,000,000",0,0,0,0,0.0,0.0,0,49613
252490,Rust,Facepunch Studios,Facepunch Studios,,867086,128597,0,"20,000,000 .. 50,000,000",0,0,0,0,39.99,39.99,0,70731
230410,Warframe,Digital Extremes,Digital Extremes,,482327,75111,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,60576
105600,Terraria,Re-Logic,Re-Logic,,1193412,28397,0,"20,000,000 .. 50,000,000",0,0,0,0,9.99,9.99,0,41510
1245620,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",,678828,56417,0,"20,000,000 .. 50,000,000",0,0,0,0,59.99,59.99,0,33271
1086940,Baldur's Gate 3,Larian Studios,Larian Studios,,471471,16149,0,"20,000,000 .. 50,000,000",0,0,0,0,59.99,59.99,0,147685
346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",,556465,113789,0,"20,000,000 .. 50,000,000",0,0,0,0,14.99,14.99,0,35112
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,576827,68008,0,"20,000,000 .. 50,000,000",0,0,0,0,4.99,9.99,50,34821
892970,Valheim,Iron Gate AB,Coffee Stain Publishing,,406388,21941,0,"20,000,000 .. 50,000,000",0,0,0,0,19.99,19.99,0,29132
238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,,187513,24086,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,14028
1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,,551827,133620,0,"20,000,000 .. 50,000,000",0,0,0,0,59.99,59.99,0,42668
413150,Stardew Valley,ConcernedApe,ConcernedApe,,617422,10989,0,"20,000,000 .. 50,000,000",0,0,0,0,14.99,14.99,0,35584
322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,415483,18306,0,"20,000,000 .. 50,000,000",0,0,0,0,14.99,14.99,0,51140
292030,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,,723421,29775,0,"10,000,000 .. 20,000,000",0,0,0,0,39.99,39.99,0,19201
291480,Warface,MY.GAMES,MY.GAMES,,55189,27169,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,694
49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,261514,17188,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,2882
1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games",,114645,106023,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,7207
990080,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,,222059,19436,0,"10,000,000 .. 20,000,000",0,0,0,0,35.99,59.99,40,14465
386360,SMITE,Titan Forge Games,Hi-Rez Studios,,90155,23386,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,12752
301520,Robocraft,Freejam,Freejam,,86291,32226,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,157
304050,Trove,gamigo US Inc.,gamigo US Inc.,,73164,17738,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,1354
251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,256291,33578,0,"10,000,000 .. 20,000,000",0,0,0,0,24.99,24.99,0,39330
239140,Dying Light,Techland,Techland,,378233,19346,0,"10,000,000 .. 20,000,000",0,0,0,0,9.99,49.99,80,6543
108600,Project Zomboid,The Indie Stone,The Indie Stone,,239753,15155,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,31839
