appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,346875,225928,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,66055
4000,Garry's Mod,Facepunch Studios,Valve,,987804,33376,0,"20,000,000 .. 50,000,000",0,0,0,0,9.99,9.99,0,20419
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,490434,23172,0,"20,000,000 .. 50,000,000",0,0,0,0,4.99,19.99,75,12006
413150,Stardew Valley,ConcernedApe,ConcernedApe,,617422,10989,0,"20,000,000 .. 50,000,000",0,0,0,0,14.99,14.99,0,35584
322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,415483,18306,0,"20,000,000 .. 50,000,000",0,0,0,0,14.99,14.99,0,51140
291480,Warface,MY.GAMES,MY.GAMES,,55189,27169,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,694
438100,VRChat,VRChat Inc.,VRChat Inc.,,152759,54347,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,22921
227300,Euro Truck Simulator 2,SCS Software,SCS Software,,697803,18438,0,"10,000,000 .. 20,000,000",0,0,0,0,4.99,19.99,75,38256
1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games",,114645,106023,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,7207
301520,Robocraft,Freejam,Freejam,,86291,32226,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,157
648800,Raft,Redbeet Interactive,Axolot Games,,274265,18587,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,12801
477160,Human Fall Flat,No Brakes Games,Curve Games,,183525,10238,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,2628
251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,256291,33578,0,"10,000,000 .. 20,000,000",0,0,0,0,24.99,24.99,0,39330
417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,956,695,0,"10,000,000 .. 20,000,000",0,0,0,0,1.99,1.99,0,0
108600,Project Zomboid,The Indie Stone,The Indie Stone,,239753,15155,0,"10,000,000 .. 20,000,000",0,0,0,0,19.99,19.99,0,31839
1222670,The Sims 4,Maxis,Electronic Arts,,104237,14880,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,31157
261550,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,,204261,28058,0,"10,000,000 .. 20,000,000",0,0,0,0,49.99,49.99,0,23020
255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,,231265,16623,0,"5,000,000 .. 10,000,000",0,0,0,0,29.99,29.99,0,12381
1089350,NBA 2K20,Visual Concepts,2K,,30434,30463,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,737
107410,Arma 3,Bohemia Interactive,Bohemia Interactive,,232742,24468,0,"5,000,000 .. 10,000,000",0,0,0,0,29.99,29.99,0,12797
1811260,EA SPORTS FIFA 23,EA Canada &amp; EA Romania,Electronic Arts,,80466,64022,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,12631
1326470,Sons Of The Forest,Endnight Games Ltd,Newnight ,,143592,24668,0,"5,000,000 .. 10,000,000",0,0,0,0,29.99,29.99,0,10143
588430,Fallout Shelter,Bethesda Game Studios,Bethesda Softworks,,55383,7123,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,1539
394360,Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,,238361,21016,0,"5,000,000 .. 10,000,000",0,0,0,0,39.99,39.99,0,34812
427520,Factorio,Wube Software LTD.,Wube Software LTD.,,169988,6040,0,"5,000,000 .. 10,000,000",0,0,0,0,35.0,35.0,0,15930
387990,Scrap Mechanic,Axolot Games,Axolot Games,,95309,7370,0,"5,000,000 .. 10,000,000",0,0,0,0,19.99,19.99,0,1337
582660,Black Desert,Pearl Abyss,Pearl Abyss,,56037,18592,0,"5,000,000 .. 10,000,000",0,0,0,0,9.99,9.99,0,21402
236850,Europa Universalis IV,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,,106021,15744,0,"5,000,000 .. 10,000,000",0,0,0,0,39.99,39.99,0,19674
363970,Clicker Heroes,Playsaurus,Playsaurus,,53615,6043,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,2924
1407200,World of Tanks,Wargaming Group Limited,Wargaming Group Limited,,60295,10310,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,5435
253710,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",,22876,17457,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,911
526870,Satisfactory,Coffee Stain Studios,Coffee Stain Publishing,,143105,4295,0,"5,000,000 .. 10,000,000",0,0,0,0,29.99,29.99,0,21647
233450,Prison Architect,"Double Eleven, Introversion Software",Paradox Interactive,,60758,6926,0,"5,000,000 .. 10,000,000",0,0,0,0,29.99,29.99,0,1102
284160,BeamNG.drive,BeamNG,BeamNG,,206454,5927,0,"5,000,000 .. 10,000,000",0,0,0,0,24.99,24.99,0,11257
397900,Business Tour - Board Game with Online Multiplayer,8Floor,8Floor,,43096,27318,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,1492
211500,RaceRoom Racing Experience,KW Studios,"KW Studios, RaceRoom Entertainment AG",,14783,5188,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,546
1100600,Football Manager 2020,Sports Interactive,SEGA,,28348,3421,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,2570
1118200,People Playground,mestiez,Studio Minus,,218498,2840,0,"2,000,000 .. 5,000,000",0,0,0,0,9.99,9.99,0,6017
244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,,102203,8228,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,11705
294100,RimWorld,Ludeon Studios,Ludeon Studios,,170778,3302,0,"2,000,000 .. 5,000,000",0,0,0,0,34.99,34.99,0,21405
1551360,Forza Horizon 5,Playground Games,Xbox Game Studios,,133066,17907,0,"2,000,000 .. 5,000,000",0,0,0,0,59.99,59.99,0,14858
380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,,43283,6831,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,5340
466560,Northgard,Shiro Games,Shiro Unlimited,,49601,6836,0,"2,000,000 .. 5,000,000",0,0,0,0,29.99,29.99,0,2579
223750,DCS World Steam Edition,Eagle Dynamics SA,advocatus,,26173,4091,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,1163
286160,Tabletop Simulator,Berserk Games,Berserk Games,,58677,3699,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,5997
440900,Conan Exiles,Funcom,Funcom,,76137,20807,0,"2,000,000 .. 5,000,000",0,0,0,0,39.99,39.99,0,11854
33930,Arma 2: Operation Arrowhead,Bohemia Interactive,Bohemia Interactive,,20198,1659,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,255
508440,Totally Accurate Battle Simulator,Landfall,Landfall,,112549,2446,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,1580
518790,theHunter: Call of the Wild,Expansive Worlds,Expansive Worlds,,127826,17170,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,8440
1225330,NBA 2K21,Visual Concepts,2K,,16311,22943,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,506
1506830,FIFA 22,EA Canada &amp; EA Romania,Electronic Arts,,96170,23436,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,4839
1366540,Dyson Sphere Program,Youthcat Studio,Gamera Games,,72183,1633,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,5097
281990,Stellaris,Paradox Development Studio,Paradox Interactive,,139611,18042,0,"2,000,000 .. 5,000,000",0,0,0,0,39.99,39.99,0,13045
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Tripwire Interactive,Tripwire Interactive,,34000,2774,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,190
203770,Crusader Kings II,Paradox Development Studio,Paradox Interactive,,64215,7000,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,2370
244850,Space Engineers,Keen Software House,Keen Software House,,109716,14450,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,6081
270880,American Truck Simulator,SCS Software,SCS Software,,135756,4612,0,"2,000,000 .. 5,000,000",0,0,0,0,4.99,19.99,75,12687
323190,Frostpunk,11 bit studios,11 bit studios,,89270,7665,0,"2,000,000 .. 5,000,000",0,0,0,0,5.99,29.99,80,5846
220200,Kerbal Space Program,Squad,Private Division ,,112175,6008,0,"2,000,000 .. 5,000,000",0,0,0,0,9.99,39.99,75,2078
209080,Guns of Icarus Online,Muse Games,Muse Games,,13180,1459,0,"2,000,000 .. 5,000,000",0,0,0,0,4.99,4.99,0,2
613100,House Flipper,Empyrean,"Frozen District, PlayWay S.A.",,78051,4985,0,"2,000,000 .. 5,000,000",0,0,0,0,24.99,24.99,0,2954
457140,Oxygen Not Included,Klei Entertainment,Klei Entertainment,,105034,3596,0,"2,000,000 .. 5,000,000",0,0,0,0,24.99,24.99,0,12790
418460,Rising Storm 2: Vietnam,"Antimatter Games, Tripwire Interactive",Tripwire Interactive,,46178,7240,0,"2,000,000 .. 5,000,000",0,0,0,0,4.99,4.99,0,484
