appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1097150,Fall Guys: Ultimate Knockout,Mediatonic,Ravenscourt,,387759,89169,0,"20,000,000 .. 50,000,000",0,0,0,0,0.0,0.0,0,2092
438100,VRChat,VRChat Inc.,VRChat Inc.,,152759,54347,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,22921
252950,Rocket League,Psyonix LLC,Psyonix LLC,,507228,67704,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,33776
417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,956,695,0,"10,000,000 .. 20,000,000",0,0,0,0,1.99,1.99,0,0
1089350,NBA 2K20,Visual Concepts,2K,,30434,30463,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,737
1811260,EA SPORTS FIFA 23,EA Canada &amp; EA Romania,Electronic Arts,,80466,64022,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,12631
253710,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",,22876,17457,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,911
211500,RaceRoom Racing Experience,KW Studios,"KW Studios, RaceRoom Entertainment AG",,14783,5188,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,546
339610,Freestyle 2: Street Basketball,JOYCITY,JOYCITY,,9004,3338,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,315
1100600,Football Manager 2020,Sports Interactive,SEGA,,28348,3421,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,2570
244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,,102203,8228,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,11705
1551360,Forza Horizon 5,Playground Games,Xbox Game Studios,,133066,17907,0,"2,000,000 .. 5,000,000",0,0,0,0,59.99,59.99,0,14858
380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,,43283,6831,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,5340
518790,theHunter: Call of the Wild,Expansive Worlds,Expansive Worlds,,127826,17170,0,"2,000,000 .. 5,000,000",0,0,0,0,19.99,19.99,0,8440
1225330,NBA 2K21,Visual Concepts,2K,,16311,22943,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,506
1506830,FIFA 22,EA Canada &amp; EA Romania,Electronic Arts,,96170,23436,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,4839
389730,TEKKEN 7,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,,72328,15095,0,"2,000,000 .. 5,000,000",0,0,0,0,13.49,89.99,85,4378
1222680,Need for Speed Heat,Ghost Games,Electronic Arts,,81615,16444,0,"2,000,000 .. 5,000,000",0,0,0,0,69.99,69.99,0,3964
766570,Russian Fishing 4,FishSoft LLC,FishSoft LLC,,27221,9624,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,16220
286940,S.K.I.L.L. - Special Force 2 (Shooter),"Dragonfly GF Co., LTD",Space Budgie,,8127,3338,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,0
286570,F1 2015,"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",,5407,3169,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,25
1263850,Football Manager 2021,Sports Interactive,SEGA,,22274,1562,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,2918
1569040,Football Manager 2022,Sports Interactive,SEGA,,19494,1569,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,6413
841370,NBA 2K19,Visual Concepts,2K,,8926,13901,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,325
310560,DiRT Rally,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts",,34393,4745,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,183
431240,Golf With Your Friends,"Blacklight Interactive, Team17",Team17,,53366,6858,0,"2,000,000 .. 5,000,000",0,0,0,0,14.99,14.99,0,1278
437900,Party Jousting,vikingfabian.com,vikingfabian.com,,657,60,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,0
482730,Football Manager 2017,Sports Interactive,SEGA,,6556,4488,0,"2,000,000 .. 5,000,000",0,0,0,0,0.0,0.0,0,729
872790,Football Manager 2019,Sports Interactive,SEGA,,10811,1661,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,1224
1262580,Need for Speed Payback,Ghost Games,Electronic Arts,,19143,3104,0,"1,000,000 .. 2,000,000",0,0,0,0,29.99,29.99,0,1072
228380,Wreckfest,Bugbear,THQ Nordic,,30574,4317,0,"1,000,000 .. 2,000,000",0,0,0,0,29.99,29.99,0,799
1313860,EA SPORTS FIFA 21,EA Canada,Electronic Arts,,43459,13546,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,390
207140,SpeedRunners,DoubleDutch Games,tinyBuild,,33255,2157,0,"1,000,000 .. 2,000,000",0,0,0,0,14.99,14.99,0,247
635260,CarX Drift Racing Online,"CarX Technologies, LLC","CarX Technologies, LLC",,67757,3164,0,"1,000,000 .. 2,000,000",0,0,0,0,7.49,14.99,50,2890
1904540,Football Manager 2023,Sports Interactive,SEGA,,16340,1951,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,19155
460920,Steep,"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",Ubisoft,,21232,4722,0,"1,000,000 .. 2,000,000",0,0,0,0,29.99,29.99,0,134
690790,DiRT Rally 2.0,Codemasters,"Codemasters, Electronic Arts",,31751,4585,0,"1,000,000 .. 2,000,000",0,0,0,0,19.99,19.99,0,1347
234630,Project CARS,Slightly Mad Studios,"Codemasters, Slightly Mad Studios, Electronic Arts",,11302,2988,0,"1,000,000 .. 2,000,000",0,0,0,0,0.0,0.0,0,63
