appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
570,Dota 2,Valve,Valve,,1746781,379927,0,"200,000,000 .. 500,000,000",0,0,0,0,0.0,0.0,0,590237
1086940,Baldur's Gate 3,Larian Studios,Larian Studios,,471471,16149,0,"20,000,000 .. 50,000,000",0,0,0,0,59.99,59.99,0,147685
322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,415483,18306,0,"20,000,000 .. 50,000,000",0,0,0,0,14.99,14.99,0,51140
291480,Warface,MY.GAMES,MY.GAMES,,55189,27169,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,694
444090,Paladins,Evil Mojo Games,Hi-Rez Studios,,290764,50430,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,7049
227940,Heroes & Generals,TLM Partners,TLM Partners,,96476,47108,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,4
386360,SMITE,Titan Forge Games,Hi-Rez Studios,,90155,23386,0,"10,000,000 .. 20,000,000",0,0,0,0,0.0,0.0,0,12752
251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,256291,33578,0,"10,000,000 .. 20,000,000",0,0,0,0,24.99,24.99,0,39330
261550,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,,204261,28058,0,"10,000,000 .. 20,000,000",0,0,0,0,49.99,49.99,0,23020
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,187590,7508,0,"10,000,000 .. 20,000,000",0,0,0,0,29.99,29.99,0,17799
255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,,231265,16623,0,"5,000,000 .. 10,000,000",0,0,0,0,29.99,29.99,0,12381
289070,Sid Meier’s Civilization VI,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,249522,41541,0,"5,000,000 .. 10,000,000",0,0,0,0,5.99,59.99,90,49179
1046930,Dota Underlords,Valve,Valve,,74441,16017,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,2169
107410,Arma 3,Bohemia Interactive,Bohemia Interactive,,232742,24468,0,"5,000,000 .. 10,000,000",0,0,0,0,29.99,29.99,0,12797
489520,Minion Masters,BetaDwarf,BetaDwarf,,56114,5556,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,637
394360,Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,,238361,21016,0,"5,000,000 .. 10,000,000",0,0,0,0,39.99,39.99,0,34812
427520,Factorio,Wube Software LTD.,Wube Software LTD.,,169988,6040,0,"5,000,000 .. 10,000,000",0,0,0,0,35.0,35.0,0,15930
582660,Black Desert,Pearl Abyss,Pearl Abyss,,56037,18592,0,"5,000,000 .. 10,000,000",0,0,0,0,9.99,9.99,0,21402
236850,Europa Universalis IV,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,,106021,15744,0,"5,000,000 .. 10,000,000",0,0,0,0,39.99,39.99,0,19674
363970,Clicker Heroes,Playsaurus,Playsaurus,,53615,6043,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0.0,0,2924
285800,Braveland,Tortuga Team,Tortuga Team,,2462,546,0,"5,000,000 .. 10,000,000",0,0,0,0,7.99,7.99,0,2
221380,Age of Empires II (2013),"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Xbox Game Studios,,94327,4194,0,"5,000,000 .. 10,000,000",0,0,0,0,19.99,19.99,0,3827
594570,Total War: WARHAMMER II,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,112382,9175,0,"5,000,000 .. 10,000,000",0,0,0,0,59.99,59.99,0,3453
