Country,GameNames,Index
Global,Steam Deck,1
Global,Lethal Company,2
Global,Counter-Strike 2,3
Global,PUBG: BATTLEGROUNDS,4
Global,Call of Duty®,5
Global,Baldur's Gate 3,6
Global,EA SPORTS FC™ 24,7
Global,Apex Legends™,8
Global,Cyberpunk 2077,9
Global,Destiny 2,10
Canada,Steam Deck,1
Canada,Lethal Company,2
Canada,Counter-Strike 2,3
Canada,Call of Duty®,4
Canada,Baldur's Gate 3,5
Canada,Cyberpunk 2077,6
Canada,Cyberpunk 2077: Phantom Liberty,7
Canada,Destiny 2,8
Canada,STAR WARS Jedi: Survivor™,9
Canada,Lost Ark,10
Japan,Street Fighter™ 6,1
Japan,Yu-Gi-Oh! Master Duel,2
Japan,Apex Legends™,3
Japan,The Exit 8,4
Japan,HoloParade,5
Japan,Call of Duty®,6
Japan,eFootball™ 2024,7
Japan,NOBUNAGA'S AMBITION: Hadou(not available in your region),8
Japan,CUSTOM MECH WARS,9
Japan,Lethal Company,10
China,PUBG: BATTLEGROUNDS,1
China,Apex Legends™,2
China,Counter-Strike 2,3
China,NARAKA: BLADEPOINT,4
China,雀魂麻將(MahjongSoul)(not available in your region),5
China,EA SPORTS FC™ 24,6
China,Call of Duty®,7
China,Lethal Company,8
China,仙剑奇侠传系列(not available in your region),9
China,Baldur's Gate 3,10
United Kingdom,Steam Deck,1
United Kingdom,Lethal Company,2
United Kingdom,Counter-Strike 2,3
United Kingdom,Call of Duty®,4
United Kingdom,Baldur's Gate 3,5
United Kingdom,EA SPORTS FC™ 24,6
United Kingdom,Football Manager 2024,7
United Kingdom,Cyberpunk 2077,8
United Kingdom,Destiny 2,9
United Kingdom,Cyberpunk 2077: Phantom Liberty,10
France,Steam Deck,1
France,Lethal Company,2
France,Call of Duty®,3
France,Baldur's Gate 3,4
France,Lost Ark,5
France,Cyberpunk 2077,6
France,EA SPORTS FC™ 24,7
France,ICARUS,8
France,Valve Index VR Kit,9
France,Counter-Strike 2,10
